triple_id,subject,predicate,object,source_standard,clause,note,confidence,layer,scenario_id,subject_type,object_type,norm_predicate
26,涂刷法,向裂缝两端延伸,10cm～30cm,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.2.2,,high,base,,RepairMethod,Concept,related_to
27,涂刷法,要求,涂层基面平整,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.2.2,,high,base,,RepairMethod,Concept,requires
28,涂刷法,采用界面剂时应采用,与涂刷涂层配套的界面剂,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.2.2,,high,base,,RepairMethod,RepairMaterial,related_to
29,涂刷法,下一道与上一道涂刷方向,垂直,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.2.2,,high,base,,RepairMethod,Concept,related_to
30,涂刷法,涂层厚度和均匀性,应符合设计要求和产品规定,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.2.2,,high,base,,RepairMethod,Concept,related_to
31,涂刷法涂层,颜色,应均匀,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.2.2,,high,base,,RepairMethod,Concept,has_index_requirement
32,涂刷法涂层,不得有,鼓包,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.2.2,,high,base,,RepairMethod,Concept,related_to
33,涂刷法涂层,不得有,流淌,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.2.2,,high,base,,RepairMethod,Concept,related_to
34,涂刷法涂层,不得有,针孔,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.2.2,,high,base,,RepairMethod,Concept,related_to
35,涂刷法涂层,不得有,分层,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.2.2,,high,base,,RepairMethod,Concept,related_to
36,涂刷法涂层,不得有,缩孔,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.2.2,,high,base,,RepairMethod,Concept,related_to
37,结构转弯处、边缘、阴角、阳角与伸出基层的管道周围等细部,工艺,应进行细化设计,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.2.2,,high,base,,Concept,Concept,related_to
38,涂刷法施工,应在,涂层产品规定的作业环境,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.2.2,,high,base,,RepairMethod,Concept,requires
39,喷涂施工,应采用,专用设备,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.2.2,,high,base,,Concept,Concept,treated_by
40,粘贴法,粘贴范围扩展至裂缝两侧,10cm～20cm,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.2.3,,high,base,,RepairMethod,Concept,related_to
41,粘贴法,向裂缝两端延伸,20cm～40cm,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.2.3,,high,base,,RepairMethod,Concept,related_to
42,粘贴法,要求,粘贴范围基面平整,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.2.3,,high,base,,RepairMethod,Concept,requires
43,粘贴法,应采用,与粘贴材料配套的界面剂,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.2.3,,high,base,,RepairMethod,RepairMaterial,treated_by
44,界面剂,涂刷方式,均匀涂刷于基面,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.2.3,,high,base,,RepairMaterial,RepairMethod,related_to
45,柔性片材,与基层混凝土,应粘贴密实,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.2.3,,high,base,,Concept,Concept,related_to
46,柔性片材,与基层混凝土,应粘贴牢固,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.2.3,,high,base,,Concept,Concept,related_to
47,柔性片材,与基层混凝土,应粘贴平整,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.2.3,,high,base,,Concept,Concept,related_to
48,粘贴法接头,宜采用,搭接形式,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.2.3,,high,base,,RepairMethod,Concept,treated_by
49,搭接长度,应大于,10cm,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.2.3,,high,base,,Concept,Concept,requires
50,柔性片材周边与混凝土接触部位,宜采用,专用止水材料封边,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.2.3,,high,base,,Concept,Concept,treated_by
51,对柔性片材进行外表面保护时,应按设计要求采用,保护板材,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.2.3,,high,base,,DefectFeature,RepairMaterial,requires
52,对柔性片材进行外表面保护时,应按设计要求采用,不锈钢压条,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.2.3,,high,base,,DefectFeature,RepairMaterial,requires
53,对柔性片材进行外表面保护时,应按设计要求采用,不锈钢螺栓,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.2.3,,high,base,,DefectFeature,RepairMaterial,requires
54,深层裂缝,应采用,内部灌浆法,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.3.1,,high,base,,DefectFeature,RepairMethod,treated_by
55,贯穿裂缝,应采用,内部灌浆法,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.3.1,,high,base,,Defect,RepairMethod,treated_by
56,内部灌浆法,灌浆材料可选用,化学浆材,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.3.1,,high,base,,RepairMethod,Concept,uses_material
57,内部灌浆法,灌浆材料可选用,水泥浆材,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.3.1,,high,base,,RepairMethod,RepairMaterial,uses_material
58,裂缝宽度小于0.5mm,宜选用,化学浆材,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.3.1,,high,base,,DefectFeature,Concept,uses_material
59,缝口宽度大于1mm的裂缝,宜选用,先凿槽嵌填后灌浆的方法,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.3.2,,high,base,,Defect,RepairMethod,uses_material
60,凿槽嵌填法,槽型,U形槽,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.3.2,,high,base,,RepairMethod,Concept,related_to
61,凿槽嵌填法,槽宽,5cm～6cm,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.3.2,,high,base,,RepairMethod,Concept,related_to
62,凿槽嵌填法,槽深,5cm～6cm,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.3.2,,high,base,,RepairMethod,Concept,related_to
63,U形槽,向缝两端延长,5cm～20cm,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.3.2,,high,base,,Concept,Concept,related_to
64,槽内表面,应涂刷,界面剂,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.3.2,,high,base,,DefectFeature,RepairMaterial,requires
65,槽内,应分层嵌填,刚性材料,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.3.2,,high,base,,Concept,Concept,requires
66,槽内,应分层嵌填,柔性材料,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.3.2,,high,base,,Concept,RepairMaterial,requires
67,凿槽嵌填表面,处理要求,压实抹光,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.3.2,,high,base,,RepairMethod,Concept,related_to
68,立面竖向裂缝或斜缝灌浆,顺序,自下而上,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.3.3,,high,base,,Defect,Concept,has_principle
69,立面竖向裂缝或斜缝灌浆,顺序,由深孔到浅孔,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.3.3,,high,base,,Defect,Concept,has_principle
70,立面水平或近似水平裂缝灌浆,顺序,自一端向另一端,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.3.3,,high,base,,Defect,Concept,has_principle
71,立面水平或近似水平裂缝灌浆,顺序,由深孔到浅孔,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.3.3,,high,base,,Defect,Concept,has_principle
72,平面裂缝灌浆,开灌孔选择,通畅性最好的孔,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.3.3,,high,base,,Defect,Concept,related_to
73,裂缝规模较大时,可采取,分区灌浆,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.3.3,,high,base,,DefectFeature,RepairMethod,related_to
74,灌浆钻孔,宜采用,回转取芯钻机钻进,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.3.3,,high,base,,RepairMethod,Concept,treated_by
75,灌浆孔采用斜孔时,应,穿过缝面与缝面相交,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.3.3,,high,base,,Concept,Concept,requires
76,斜孔过缝深度,应大于,10cm,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.3.3,,high,base,,DefectFeature,Concept,requires
77,骑缝孔孔深距裂缝底,宜小于,40cm,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.3.3,,high,base,,Defect,Concept,requires
78,水泥浆液水灰比,可按,设计规定执行,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.3.3,,high,base,,Concept,Concept,related_to
79,灌浆压力,可按,设计规定执行,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.3.3,,high,base,,DefectFeature,Concept,related_to
80,灌浆结束标准,在最大设计压力下注入率不大于,0.05L/min,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.3.3,,high,base,,Concept,Concept,related_to
81,灌浆结束标准,继续灌注时间,20min,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.3.3,,high,base,,Concept,Concept,related_to
82,裂缝灌浆后表面封闭,可采用,涂刷法,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.3.4,,high,base,,RepairMethod,RepairMethod,treated_by
83,裂缝灌浆后表面封闭,可采用,粘贴法,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.3.4,,high,base,,RepairMethod,RepairMethod,treated_by
84,混凝土渗漏处理,宜在,渗漏早期,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.1.1,,high,base,,Defect,Defect,requires
85,混凝土渗漏处理,宜在,无水或低水位情况下,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.1.1,,high,base,,Defect,Concept,requires
86,渗漏迎水面处截堵,原则,上堵下排、堵排结合,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.1.1,,high,base,,Location,Concept,has_principle
87,背水面堵漏,原则,先排后堵、排堵结合,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.1.1,,high,base,,Location,Concept,has_principle
88,重要部位渗漏,应进行,专项设计,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.1.1,,high,base,,Defect,Concept,requires
89,重要部位渗漏,应采用,综合方法处理,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.1.1,,high,base,,Defect,Concept,treated_by
90,涂刷法,适用于,在渗漏迎水面对裂缝或层间缝缝口进行处理,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.2.1,,high,base,,RepairMethod,Location,applicable_to
91,粘贴防渗层法,适用于,在渗漏迎水面对裂缝或层间缝缝口进行处理,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.2.1,,high,base,,Concept,Location,applicable_to
92,凿槽嵌填法,适用于,在迎水面处对渗漏裂缝缝口进行嵌填处理,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.2.2,,high,base,,RepairMethod,Location,applicable_to
93,凿槽嵌填法,适用于,在迎水面处对渗漏层间缝缝口进行嵌填处理,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.2.2,,high,base,,RepairMethod,Location,applicable_to
94,背水面渗漏裂缝处理采用凿槽嵌填法时,应先采取,临时封堵措施,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.2.2,,high,base,,Location,Concept,requires
95,迎水面渗漏裂缝处理,可采用,沿渗漏裂缝骑缝开凿U形槽,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.2.2,,high,base,,Location,Defect,treated_by
96,迎水面渗漏层间缝处理,可采用,沿层间缝骑缝开凿U形槽,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.2.2,,high,base,,Location,Location,treated_by
97,凿槽嵌填法,可在缝两端骑缝钻,截水孔,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.2.2,,high,base,,RepairMethod,Concept,related_to
98,U形槽和截水孔,应分层嵌填,亲水性柔性材料,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.2.2,,high,base,,Concept,RepairMaterial,requires
99,渗漏逸出点临时封堵,应采用,速凝材料,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.2.2,,high,base,,Location,RepairMaterial,treated_by
100,对凿槽嵌填材料有防护要求时,应涂抹,防护材料,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.2.2,,high,base,,RepairMethod,RepairMaterial,requires
101,有外观要求的凿槽嵌填处理,应按要求进行,装饰,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.2.2,,high,base,,RepairMethod,Concept,requires
102,裂缝或层间缝渗漏,可在迎水面处采用,灌浆截堵,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.2.3,,high,base,,Location,Concept,treated_by
103,裂缝或层间缝渗漏,可在出水口采用,钻孔顶水灌浆封堵,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.2.3,,high,base,,Location,RepairMethod,treated_by
104,迎水面灌浆钻孔,应采取,斜孔布置,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.2.3,,high,base,,Location,Concept,requires
105,灌浆前,宜进行,有色水压水试验,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.2.3,,high,base,,Concept,InvestigationMethod,requires
106,顶水灌浆法钻孔,可采用,骑缝孔,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.2.3,,high,base,,RepairMethod,Concept,treated_by
107,顶水灌浆法钻孔,可采用,斜孔布置,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.2.3,,high,base,,RepairMethod,Concept,treated_by
108,压水试验压力,不应大于,最大水头下的静水压力,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.2.3,,high,base,,InvestigationMethod,DefectFeature,related_to
109,试气压力,不宜超过,灌浆压力的30%,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.2.3,,high,base,,DefectFeature,DefectFeature,related_to
110,引排止漏法,适用于,在渗漏逸出点处处理渗漏裂缝,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.2.4,,high,base,,RepairMethod,Location,applicable_to
111,引排止漏法,适用于,在渗漏逸出点处处理渗漏层间缝,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.2.4,,high,base,,RepairMethod,Location,applicable_to
112,引排止漏法,施工方式,在缝一侧或两侧钻斜孔与缝面相交,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.2.4,,high,base,,RepairMethod,RepairMethod,related_to
113,引排止漏法,埋管作用,引排水,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.2.4,,high,base,,RepairMethod,Concept,related_to
114,引排完成后,应进行,封缝,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.2.4,,high,base,,Concept,RepairMethod,requires
115,引排完成后,应进行,灌浆,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.2.4,,high,base,,Concept,Concept,requires
116,渗漏修补后,应,封闭导水管,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.2.4,,high,base,,Defect,Concept,requires
117,结构缝渗漏,可采用,涂刷法,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.3.1-6.3.8,,high,base,,Location,RepairMethod,treated_by
118,结构缝渗漏,可采用,粘贴法,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.3.1-6.3.8,,high,base,,Location,RepairMethod,treated_by
119,结构缝渗漏,可采用,锚固法,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.3.1-6.3.8,,high,base,,Location,Concept,treated_by
120,结构缝渗漏,可采用,凿槽嵌填法,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.3.1-6.3.8,,high,base,,Location,RepairMethod,treated_by
121,结构缝渗漏,可采用,灌浆法,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.3.1-6.3.8,,high,base,,Location,RepairMethod,treated_by
122,结构缝渗漏,可采用,钻孔隔离法,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.3.1-6.3.8,,high,base,,Location,RepairMethod,treated_by
123,结构缝渗漏,可采用,综合法,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.3.1-6.3.8,,high,base,,Location,Concept,treated_by
124,沥青井止水结构渗漏,可采用,补灌沥青,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.3.8,,high,base,,Defect,RepairMethod,treated_by
125,结构缝渗漏涂刷法,应嵌填,柔性密封材料,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.3.1,,high,base,,Location,Concept,requires
126,结构缝渗漏涂刷法,应分层涂刷,柔性防渗涂料,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.3.1,,high,base,,Location,Concept,requires
127,结构缝中间部位涂层宽度,不小于,25cm,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.3.1,,high,base,,Location,Concept,related_to
128,结构缝中间部位涂层厚度,不小于,4mm,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.3.1,,high,base,,Location,Concept,related_to
129,结构缝中间部位涂层内,应粘贴,一道胎基布,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.3.1,,high,base,,Location,RepairMaterial,requires
130,结构缝渗漏粘贴法,可选择,表面粘贴法,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.3.2,,high,base,,Location,RepairMethod,related_to
131,结构缝渗漏粘贴法,可选择,凿槽粘贴法,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.3.2,,high,base,,Location,RepairMethod,related_to
132,表面粘贴法,潮湿基面粘贴时应选用,亲水性界面剂,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.3.2,,high,base,,RepairMethod,RepairMaterial,related_to
133,凿槽粘贴法,应嵌入,柔性密封材料,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.3.2,,high,base,,RepairMethod,Concept,requires
134,凿槽粘贴法,可铺设,柔性防水板材,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.3.2,,high,base,,RepairMethod,Concept,related_to
135,凿槽粘贴法,可涂刷,柔性涂层,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.3.2,,high,base,,RepairMethod,Concept,related_to
136,凿槽粘贴法,应钻孔埋设,锚固钢筋,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.3.2,,high,base,,RepairMethod,Concept,requires
137,锚固法,可采用,内部锚固柔性防水板材,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.3.3,,high,base,,Concept,Concept,treated_by
138,锚固法,可采用,外部锚固柔性防水板材,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.3.3,,high,base,,Concept,Concept,treated_by
139,内部锚固柔性防水板材施工,应嵌入,柔性密封材料,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.3.3,,high,base,,Concept,Concept,requires
140,外部锚固柔性防水板材施工,应嵌入,柔性密封材料,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.3.3,,high,base,,Concept,Concept,requires
141,凿槽嵌填法处理结构缝渗漏,槽型可为,U形槽,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.3.4,,high,base,,Location,Concept,related_to
142,凿槽嵌填法处理结构缝渗漏,槽型可为,T形槽,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.3.4,,high,base,,Location,Concept,related_to
143,凿槽嵌填法处理结构缝渗漏,应嵌填,柔性材料,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.3.4,,high,base,,Location,RepairMaterial,requires
144,对嵌填材料进行表面封闭保护时,可采取,涂刷方法,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.3.4,,high,base,,RepairMethod,RepairMethod,related_to
145,有伸缩变形的结构缝,应选用,弹性好、延伸性大的柔性灌浆材料,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.3.5,,high,base,,Location,Concept,uses_material
146,蓄水后处于受压工作状态的结构缝,应选用,刚性灌浆材料,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.3.5,,high,base,,Location,RepairMaterial,uses_material
147,结构缝灌浆压力,宜为,0.3MPa～0.5MPa,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.3.5,,high,base,,Location,Concept,requires
148,结构缝灌浆结束标准,在设计灌浆压力下注入率不大于,0.01L/min,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.3.5,,high,base,,Location,Concept,related_to
149,结构缝灌浆结束标准,继续灌注时间,20min,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.3.5,,high,base,,Location,Concept,related_to
150,钻孔隔离法,适用于,结构缝渗漏处理,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.3.6,,high,base,,RepairMethod,Location,applicable_to
151,钻孔隔离法,施工方式,骑缝孔内回填或灌注胶凝材料,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.3.6,,high,base,,RepairMethod,RepairMethod,related_to
152,钻孔隔离法骑缝钻孔,孔位偏差应小于,1cm,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.3.6,,high,base,,RepairMethod,Concept,related_to
153,综合法处理结构缝渗漏,应进行,专项设计,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.3.7,,high,base,,Location,Concept,requires
154,补灌沥青,适用于,沥青井止水结构的渗漏处理,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.3.8,,high,base,,RepairMethod,Defect,applicable_to
155,集中渗漏且水压小于0.1MPa,可采用,直接堵漏法,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.4.1,,high,base,,DefectFeature,RepairMethod,treated_by
156,集中渗漏且水压小于0.1MPa,可采用,导管堵漏法,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.4.1,,high,base,,DefectFeature,RepairMethod,treated_by
157,集中渗漏且水压大于0.1MPa,可采用,灌浆堵漏法,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.4.1,,high,base,,DefectFeature,RepairMethod,treated_by
158,直接堵漏法,要求堵漏材料,在潮湿和动水条件下速凝,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.4.1,,high,base,,RepairMethod,Concept,related_to
159,直接堵漏法,要求堵漏材料,凝固时间可调控,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.4.1,,high,base,,RepairMethod,Concept,related_to
160,直接堵漏法,要求堵漏材料,与孔壁黏结牢固,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.4.1,,high,base,,RepairMethod,Concept,related_to
161,直接堵漏法,孔形,口大内小的楔形,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.4.2,,high,base,,RepairMethod,Concept,related_to
162,直接堵漏法,堵漏材料,速凝材料,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.4.2,,high,base,,RepairMethod,RepairMaterial,related_to
163,导管堵漏法,将导管插入,凿好的孔洞,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.4.3,,high,base,,RepairMethod,RiskOrIssue,related_to
164,导管堵漏法,导管四周封堵材料,速凝材料,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.4.3,,high,base,,RepairMethod,RepairMaterial,related_to
165,导管堵漏法,导管孔封堵材料,速凝材料,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,6.4.3,,high,base,,RepairMethod,RepairMaterial,related_to
