base_id,v3_id,triple_id,subject,predicate,object,source_standard,clause,note,confidence,module,target_component,target_defect
55,55,185,面板厚度设计,requires,渗透水力梯度不超过200,NB/T 10871-2021 混凝土面板堆石坝设计规范,7.2.1,,high,CFRD_anti_seepage,面板,
56,56,186,面板厚度设计,requires,满足钢筋和止水布置要求,NB/T 10871-2021 混凝土面板堆石坝设计规范,7.2.1,,high,CFRD_anti_seepage,面板,
57,57,187,面板顶部厚度,not_less_than,0.3m,NB/T 10871-2021 混凝土面板堆石坝设计规范,7.2.2,,high,CFRD_anti_seepage,面板,
58,58,188,低坝面板,can_use,0.3m~0.4m等厚面板,NB/T 10871-2021 混凝土面板堆石坝设计规范,7.2.2,,high,CFRD_anti_seepage,面板,
59,59,189,面板混凝土,should_have,良好的耐久性,NB/T 10871-2021 混凝土面板堆石坝设计规范,7.3.1,,high,CFRD_anti_seepage,面板,
60,60,190,面板混凝土,should_have,抗渗性,NB/T 10871-2021 混凝土面板堆石坝设计规范,7.3.1,,high,CFRD_anti_seepage,面板,
61,61,191,面板混凝土,should_have,抗裂性,NB/T 10871-2021 混凝土面板堆石坝设计规范,7.3.1,,high,CFRD_anti_seepage,面板,
62,62,192,面板混凝土,should_have,施工和易性,NB/T 10871-2021 混凝土面板堆石坝设计规范,7.3.1,,high,CFRD_anti_seepage,面板,
63,63,193,面板混凝土强度等级,not_less_than,C25,NB/T 10871-2021 混凝土面板堆石坝设计规范,7.3.1,,high,CFRD_anti_seepage,面板,
64,64,194,1级坝和特高坝面板混凝土强度等级,not_less_than,C30,NB/T 10871-2021 混凝土面板堆石坝设计规范,7.3.1,,high,CFRD_anti_seepage,面板,
65,65,195,面板混凝土抗渗等级,not_less_than,W8,NB/T 10871-2021 混凝土面板堆石坝设计规范,7.3.1,,high,CFRD_anti_seepage,面板,
66,66,196,特高坝面板混凝土抗渗等级,not_less_than,W12,NB/T 10871-2021 混凝土面板堆石坝设计规范,7.3.1,,high,CFRD_anti_seepage,面板,
67,67,197,面板混凝土抗冻等级,not_less_than,F100,NB/T 10871-2021 混凝土面板堆石坝设计规范,7.3.1,,high,CFRD_anti_seepage,面板,
68,68,198,面板混凝土极限拉伸值,not_less_than,0.85×10^-4,NB/T 10871-2021 混凝土面板堆石坝设计规范,7.3.1,,medium,CFRD_anti_seepage,面板,
69,69,199,高坝面板混凝土极限拉伸值,not_less_than,1×10^-4,NB/T 10871-2021 混凝土面板堆石坝设计规范,7.3.1,,medium,CFRD_anti_seepage,面板,
70,70,200,面板混凝土,preferred_cement,42.5级中热硅酸盐水泥,NB/T 10871-2021 混凝土面板堆石坝设计规范,7.3.2,,high,CFRD_anti_seepage,面板,
71,71,201,面板混凝土,preferred_cement,42.5级低热硅酸盐水泥,NB/T 10871-2021 混凝土面板堆石坝设计规范,7.3.2,,high,CFRD_anti_seepage,面板,
72,72,202,面板混凝土,can_use,42.5级硅酸盐水泥,NB/T 10871-2021 混凝土面板堆石坝设计规范,7.3.2,,medium,CFRD_anti_seepage,面板,
73,73,203,面板混凝土,can_use,42.5级普通硅酸盐水泥,NB/T 10871-2021 混凝土面板堆石坝设计规范,7.3.2,,medium,CFRD_anti_seepage,面板,
74,74,204,面板混凝土,should_use,引气剂,NB/T 10871-2021 混凝土面板堆石坝设计规范,7.3.3,,high,CFRD_anti_seepage,面板,
75,75,205,面板混凝土,should_use,高效减水剂,NB/T 10871-2021 混凝土面板堆石坝设计规范,7.3.3,,high,CFRD_anti_seepage,面板,
76,76,206,面板混凝土含气量,recommended_range,4%~6%,NB/T 10871-2021 混凝土面板堆石坝设计规范,7.3.3,,high,CFRD_anti_seepage,面板,
77,77,207,面板混凝土,should_use,二级配骨料,NB/T 10871-2021 混凝土面板堆石坝设计规范,7.3.4,,high,CFRD_anti_seepage,面板,
78,78,208,粗骨料吸水率,not_greater_than,2%,NB/T 10871-2021 混凝土面板堆石坝设计规范,7.3.4,,high,CFRD_anti_seepage,,
79,79,209,粗骨料含泥量,not_greater_than,1%,NB/T 10871-2021 混凝土面板堆石坝设计规范,7.3.4,,high,CFRD_anti_seepage,,
80,80,210,细骨料吸水率,not_greater_than,3%,NB/T 10871-2021 混凝土面板堆石坝设计规范,7.3.4,,high,CFRD_anti_seepage,,
81,81,211,细骨料含泥量,not_greater_than,2%,NB/T 10871-2021 混凝土面板堆石坝设计规范,7.3.4,,high,CFRD_anti_seepage,,
82,82,212,细骨料细度模数,recommended_range,2.4~2.8,NB/T 10871-2021 混凝土面板堆石坝设计规范,7.3.4,,high,CFRD_anti_seepage,,
83,83,213,温和地区面板混凝土水灰比,less_than,0.50,NB/T 10871-2021 混凝土面板堆石坝设计规范,7.3.5,,high,CFRD_anti_seepage,面板,
84,84,214,严寒和寒冷地区面板混凝土水灰比,less_than,0.45,NB/T 10871-2021 混凝土面板堆石坝设计规范,7.3.5,,high,CFRD_anti_seepage,面板,
85,85,215,面板,can_use_reinforcement,单层双向钢筋,NB/T 10871-2021 混凝土面板堆石坝设计规范,7.4.1,,high,CFRD_anti_seepage,面板,
86,86,216,面板,can_use_reinforcement,双层双向钢筋,NB/T 10871-2021 混凝土面板堆石坝设计规范,7.4.1,,high,CFRD_anti_seepage,面板,
87,87,217,面板每层每向配筋率,recommended_range,0.3%~0.5%,NB/T 10871-2021 混凝土面板堆石坝设计规范,7.4.1,,high,CFRD_anti_seepage,面板,
88,88,218,高坝压性垂直缝和周边缝及水平缝附近面板,should_set,抗挤压钢筋,NB/T 10871-2021 混凝土面板堆石坝设计规范,7.4.2,,high,CFRD_anti_seepage,面板,
89,89,219,高坝压性垂直缝和周边缝及水平缝附近面板,should_set,拉筋或封闭短筋,NB/T 10871-2021 混凝土面板堆石坝设计规范,7.4.2,,high,CFRD_anti_seepage,面板,
90,90,220,面板钢筋保护层厚度,not_less_than,8cm,NB/T 10871-2021 混凝土面板堆石坝设计规范,7.4.3,,high,CFRD_anti_seepage,面板,
91,91,221,面板浇筑前坝体上游坡面,should_set,乳化沥青层,NB/T 10871-2021 混凝土面板堆石坝设计规范,7.5.2,,high,CFRD_anti_seepage,面板,
92,92,222,面板混凝土,requires,配合比设计,NB/T 10871-2021 混凝土面板堆石坝设计规范,7.5.3,,high,CFRD_anti_seepage,面板,
93,93,223,面板混凝土,can_use,纤维材料,NB/T 10871-2021 混凝土面板堆石坝设计规范,7.5.3,必要时,medium,CFRD_anti_seepage,面板,
94,94,224,V形槽深度,not_greater_than,5cm,NB/T 10871-2021 混凝土面板堆石坝设计规范,7.5.4,面板压性缝顶部,high,CFRD_anti_seepage,面板,
95,95,225,面板混凝土施工,should_avoid,高温季节,NB/T 10871-2021 混凝土面板堆石坝设计规范,7.5.5,,high,CFRD_anti_seepage,面板,
96,96,226,面板混凝土施工,should_avoid,负温季节,NB/T 10871-2021 混凝土面板堆石坝设计规范,7.5.5,,high,CFRD_anti_seepage,面板,
97,97,227,面板混凝土出模后,should_be,及时覆盖保温保湿,NB/T 10871-2021 混凝土面板堆石坝设计规范,7.5.7,,high,CFRD_anti_seepage,面板,
98,98,228,面板混凝土保温保湿,duration,直到水库蓄水或至少90d,NB/T 10871-2021 混凝土面板堆石坝设计规范,7.5.7,,high,CFRD_anti_seepage,面板,
99,99,229,面板裂缝宽度大于0.2mm,requires,专门措施处理,NB/T 10871-2021 混凝土面板堆石坝设计规范,7.5.8,,high,CFRD_anti_seepage,面板,裂缝
100,100,230,贯穿性裂缝,requires,专门措施处理,NB/T 10871-2021 混凝土面板堆石坝设计规范,7.5.8,,high,CFRD_anti_seepage,,贯穿性裂缝
101,101,231,严寒地区和抽水蓄能电站混凝土面板堆石坝,should_raise,裂缝处理标准,NB/T 10871-2021 混凝土面板堆石坝设计规范,7.5.8,,high,CFRD_anti_seepage,面板,裂缝
102,102,232,较大范围混凝土裂缝等缺陷,can_use,土工膜等辅助面板防渗措施,NB/T 10871-2021 混凝土面板堆石坝设计规范,7.5.9,,high,CFRD_anti_seepage,面板,裂缝
103,103,233,面板、趾板、趾墙、混凝土连接板、防浪墙的接缝,should_form,连续密封的止水系统,NB/T 10871-2021 混凝土面板堆石坝设计规范,8.1.1,,high,CFRD_anti_seepage,面板,
104,104,234,接缝止水型式,should_adapt_to,防渗体系结构变形需要,NB/T 10871-2021 混凝土面板堆石坝设计规范,8.1.2,,high,CFRD_anti_seepage,接缝,
105,105,235,接缝止水材料,requires,出厂合格证明,NB/T 10871-2021 混凝土面板堆石坝设计规范,8.1.3,,high,CFRD_anti_seepage,接缝,
106,106,236,接缝止水材料,requires,抽检,NB/T 10871-2021 混凝土面板堆石坝设计规范,8.1.3,,high,CFRD_anti_seepage,接缝,
107,107,237,接缝止水材料,should_bind_well_with,混凝土,NB/T 10871-2021 混凝土面板堆石坝设计规范,8.1.4,,high,CFRD_anti_seepage,接缝,
108,108,238,低坝周边缝,should_set,底部铜止水片,NB/T 10871-2021 混凝土面板堆石坝设计规范,8.2.1,,high,CFRD_anti_seepage,接缝,
109,109,239,中坝周边缝,should_set,底部铜止水片,NB/T 10871-2021 混凝土面板堆石坝设计规范,8.2.1,,high,CFRD_anti_seepage,接缝,
110,110,240,中坝周边缝,should_set,顶部第二道止水,NB/T 10871-2021 混凝土面板堆石坝设计规范,8.2.1,宜采用,high,CFRD_anti_seepage,接缝,
111,111,241,高坝周边缝,should_set,底部铜止水片,NB/T 10871-2021 混凝土面板堆石坝设计规范,8.2.1,,high,CFRD_anti_seepage,接缝,
112,112,242,高坝周边缝,should_set,顶部塑性填料或无黏性填料止水,NB/T 10871-2021 混凝土面板堆石坝设计规范,8.2.1,,high,CFRD_anti_seepage,接缝,
113,113,243,高坝周边缝,can_set,橡胶棒,NB/T 10871-2021 混凝土面板堆石坝设计规范,8.2.1,缝中部,high,CFRD_anti_seepage,接缝,
114,114,244,特高坝周边缝,should_set,底部铜止水片,NB/T 10871-2021 混凝土面板堆石坝设计规范,8.2.1,,high,CFRD_anti_seepage,接缝,
115,115,245,特高坝周边缝,should_set,顶部塑性填料和无黏性填料止水,NB/T 10871-2021 混凝土面板堆石坝设计规范,8.2.1,,high,CFRD_anti_seepage,接缝,
116,116,246,特高坝周边缝,can_set,橡胶棒,NB/T 10871-2021 混凝土面板堆石坝设计规范,8.2.1,缝中部,high,CFRD_anti_seepage,接缝,
117,117,247,周边缝底部铜止水片和顶部塑性填料,should_form,自成封闭止水系统,NB/T 10871-2021 混凝土面板堆石坝设计规范,8.2.2,,high,CFRD_anti_seepage,接缝,
118,118,248,周边缝缝宽,recommended_value,12mm,NB/T 10871-2021 混凝土面板堆石坝设计规范,8.2.3,,high,CFRD_anti_seepage,接缝,
119,119,249,周边缝内部,should_set,抗挤压板,NB/T 10871-2021 混凝土面板堆石坝设计规范,8.2.3,,high,CFRD_anti_seepage,接缝,
120,120,250,抗挤压板,should_be_fixed_on,混凝土趾板,NB/T 10871-2021 混凝土面板堆石坝设计规范,8.2.3,,high,CFRD_anti_seepage,趾板/连接部位,
121,121,251,铜止水片下垫片,can_use,橡胶垫片,NB/T 10871-2021 混凝土面板堆石坝设计规范,8.2.4,,high,CFRD_anti_seepage,止水系统,
122,122,252,铜止水片下垫片,can_use,聚氯乙烯垫片,NB/T 10871-2021 混凝土面板堆石坝设计规范,8.2.4,,high,CFRD_anti_seepage,止水系统,
123,123,253,铜止水片下垫片,can_use,土工织物垫片,NB/T 10871-2021 混凝土面板堆石坝设计规范,8.2.4,,high,CFRD_anti_seepage,止水系统,
124,124,254,垫片厚度,recommended_range,4mm~6mm,NB/T 10871-2021 混凝土面板堆石坝设计规范,8.2.4,,high,CFRD_anti_seepage,,
125,125,255,垫片下垫层材料,preferred_material,沥青砂浆,NB/T 10871-2021 混凝土面板堆石坝设计规范,8.2.4,,high,CFRD_anti_seepage,,
126,126,256,垫片下垫层材料,can_use,水泥砂浆,NB/T 10871-2021 混凝土面板堆石坝设计规范,8.2.4,,medium,CFRD_anti_seepage,,
127,127,257,铜止水片鼻子顶部,should_fill_with,橡胶棒,NB/T 10871-2021 混凝土面板堆石坝设计规范,8.2.4,,high,CFRD_anti_seepage,止水系统,
128,128,258,铜止水片鼻子顶部,can_fill_with,聚氨酯泡沫板,NB/T 10871-2021 混凝土面板堆石坝设计规范,8.2.4,,high,CFRD_anti_seepage,止水系统,
129,129,259,周边缝设置塑性填料止水时,should_set,橡胶棒或聚氯乙烯棒,NB/T 10871-2021 混凝土面板堆石坝设计规范,8.2.6,,high,CFRD_anti_seepage,接缝,
130,130,260,保护盖片,preferred_material,不锈钢,NB/T 10871-2021 混凝土面板堆石坝设计规范,8.2.6,,high,CFRD_anti_seepage,止水系统,
131,131,261,周边缝铜止水片鼻子,should_face,迎水面,NB/T 10871-2021 混凝土面板堆石坝设计规范,8.2.8,,high,CFRD_anti_seepage,接缝,
132,132,262,低坝张性垂直缝和压性垂直缝,should_set,底部铜止水片,NB/T 10871-2021 混凝土面板堆石坝设计规范,8.3.2,,high,CFRD_anti_seepage,接缝,
133,133,263,中坝张性垂直缝和压性垂直缝,should_set,底部铜止水片,NB/T 10871-2021 混凝土面板堆石坝设计规范,8.3.2,,high,CFRD_anti_seepage,接缝,
134,134,264,中坝张性垂直缝,should_set,顶部第二道止水,NB/T 10871-2021 混凝土面板堆石坝设计规范,8.3.2,宜设置,high,CFRD_anti_seepage,接缝,
135,135,265,高坝张性垂直缝和压性垂直缝,should_set,底部铜止水片,NB/T 10871-2021 混凝土面板堆石坝设计规范,8.3.2,,high,CFRD_anti_seepage,接缝,
136,136,266,高坝张性垂直缝,should_set,顶部第二道止水,NB/T 10871-2021 混凝土面板堆石坝设计规范,8.3.2,,high,CFRD_anti_seepage,接缝,
137,137,267,特高坝张性垂直缝和压性垂直缝,should_set,底部铜止水片,NB/T 10871-2021 混凝土面板堆石坝设计规范,8.3.2,,high,CFRD_anti_seepage,接缝,
138,138,268,特高坝张性垂直缝,should_set,顶部第二道止水,NB/T 10871-2021 混凝土面板堆石坝设计规范,8.3.2,,high,CFRD_anti_seepage,接缝,
139,139,269,特高坝压性垂直缝,should_set,顶部第二道止水,NB/T 10871-2021 混凝土面板堆石坝设计规范,8.3.2,宜设置,high,CFRD_anti_seepage,接缝,
140,140,270,张性垂直缝W型铜止水片鼻高,recommended_range,40mm~60mm,NB/T 10871-2021 混凝土面板堆石坝设计规范,8.3.3,,high,CFRD_anti_seepage,接缝,
141,141,271,张性垂直缝W型铜止水片鼻宽,recommended_value,12mm,NB/T 10871-2021 混凝土面板堆石坝设计规范,8.3.3,,high,CFRD_anti_seepage,接缝,
142,142,272,张性垂直缝W型铜止水片平段宽度,not_less_than,160mm,NB/T 10871-2021 混凝土面板堆石坝设计规范,8.3.3,,high,CFRD_anti_seepage,接缝,
143,143,273,压性垂直缝W型铜止水片鼻高,recommended_range,30mm~50mm,NB/T 10871-2021 混凝土面板堆石坝设计规范,8.3.3,,high,CFRD_anti_seepage,接缝,
144,144,274,高坝或8度及以上中坝的受力较大面板部位,should_set,柔性垂直缝,NB/T 10871-2021 混凝土面板堆石坝设计规范,8.3.6,,high,CFRD_anti_seepage,面板,
145,145,275,柔性垂直缝缝宽,recommended_range,10mm~20mm,NB/T 10871-2021 混凝土面板堆石坝设计规范,8.3.6,,high,CFRD_anti_seepage,接缝,
146,146,276,柔性垂直缝,should_set,抗挤压板,NB/T 10871-2021 混凝土面板堆石坝设计规范,8.3.6,,high,CFRD_anti_seepage,接缝,
147,147,277,岩基上趾板,should_set,必要的伸缩缝,NB/T 10871-2021 混凝土面板堆石坝设计规范,8.4.1,,high,CFRD_anti_seepage,趾板/连接部位,
148,148,278,趾板伸缩缝,should_be_staggered_with,面板垂直缝,NB/T 10871-2021 混凝土面板堆石坝设计规范,8.4.1,,high,CFRD_anti_seepage,面板,
149,149,279,趾板伸缩缝,should_set,止水,NB/T 10871-2021 混凝土面板堆石坝设计规范,8.4.1,,high,CFRD_anti_seepage,趾板/连接部位,
150,150,280,趾板伸缩缝,should_form,与周边缝止水片和基岩构成封闭止水系统,NB/T 10871-2021 混凝土面板堆石坝设计规范,8.4.1,,high,CFRD_anti_seepage,趾板/连接部位,
151,151,281,覆盖层上趾板、连接板和防渗墙之间的接缝,should_be_designed_as,周边缝,NB/T 10871-2021 混凝土面板堆石坝设计规范,8.4.2,,high,CFRD_anti_seepage,趾板/连接部位,
152,152,282,覆盖层上趾板、连接板和防渗墙之间的接缝,should_have,自愈措施,NB/T 10871-2021 混凝土面板堆石坝设计规范,8.4.2,,high,CFRD_anti_seepage,趾板/连接部位,
153,153,283,混凝土面板与溢洪道或其他建筑物边墙连接缝,stopwater_structure_same_as,周边缝,NB/T 10871-2021 混凝土面板堆石坝设计规范,8.4.4,,high,CFRD_anti_seepage,面板,
154,154,284,面板分期施工缝,should_set,顶部塑性材料止水,NB/T 10871-2021 混凝土面板堆石坝设计规范,8.4.5,,high,CFRD_anti_seepage,面板,
155,155,285,面板分期施工缝,should_set,保护盖片,NB/T 10871-2021 混凝土面板堆石坝设计规范,8.4.5,,high,CFRD_anti_seepage,面板,
156,156,286,面板永久水平缝止水结构,can_be_set_as,同高程周边缝,NB/T 10871-2021 混凝土面板堆石坝设计规范,8.4.5,,high,CFRD_anti_seepage,面板,
157,157,287,防浪墙底部水平缝,should_set,铜止水片,NB/T 10871-2021 混凝土面板堆石坝设计规范,8.4.6,,high,CFRD_anti_seepage,接缝,
158,158,288,防浪墙底部水平缝,should_set,顶部塑性填料止水,NB/T 10871-2021 混凝土面板堆石坝设计规范,8.4.6,,high,CFRD_anti_seepage,接缝,
159,159,289,防浪墙结构缝,can_use,聚氯乙烯止水带,NB/T 10871-2021 混凝土面板堆石坝设计规范,8.4.7,,high,CFRD_anti_seepage,止水系统,
160,160,290,防浪墙结构缝,can_use,橡胶止水带,NB/T 10871-2021 混凝土面板堆石坝设计规范,8.4.7,,high,CFRD_anti_seepage,止水系统,
161,161,291,防浪墙结构缝,can_use,铜止水片,NB/T 10871-2021 混凝土面板堆石坝设计规范,8.4.7,,high,CFRD_anti_seepage,止水系统,
